Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
18891,693,699,194.10282907210237,194.82054302479875,193.554342945024,194.82054302479875,13558.33428038742,0.0,0.0036975965581098613,2025-06-13 01:00:00+00:00,2025-06-13 07:00:00+00:00,0 days 06:00:00,,195.18375069754464,194.94253649030412,196.08104805177632,195.99279179186266,194.28645334331296,193.89228118874559,0.37428795937223963,0.41471097166534304
-23180,734,744,196.59007840451798,196.2449951171875,197.04508541275806,195.99955306782,7999.03060032057,0.0,0.001755344370026668,2025-06-16 19:00:00+00:00,2025-06-17 05:00:00+00:00,0 days 10:00:00,,195.78625106811523,196.08692932128906,196.5868184580057,197.07395972501155,194.98568367822477,195.09989891756658,0.29060024365863535,0.30647637309043363
18593,757,773,195.28587543966478,194.71606265990235,194.71606265990235,196.02959935548176,-10594.529014122852,0.0,-0.002917839185653137,2025-06-17 18:00:00+00:00,2025-06-18 10:00:00+00:00,0 days 16:00:00,,196.2231080191476,195.42421449933732,197.12773340159984,196.75392174171807,195.31848263669534,194.09450725695658,0.3624173320721754,0.3009622154427318
-22905,798,814,195.60310344031586,196.05134290850967,196.05134290850967,194.9958738433413,-10266.925018979096,0.0,-0.002291576464330314,2025-06-19 11:00:00+00:00,2025-06-20 03:00:00+00:00,0 days 16:00:00,,194.7731067112514,195.36364364624023,195.63903147082334,196.79839414472087,193.90718195167943,193.9288931477596,0.3190227799749165,0.26613581314453316
-24424,840,840,197.56803578807785,197.9960015334634,197.9960015334634,197.01600735479616,-10452.635365297001,0.0,-0.002166168953790848,2025-06-23 06:00:00+00:00,2025-06-23 06:00:00+00:00,0 days 00:00:00,,196.50160762241907,196.50160762241907,197.5886981542292,197.5886981542292,195.41451709060894,195.41451709060894,0.29335525836891335,0.29335525836891335
-25466,888,888,197.57403225033232,197.9816997046594,197.9816997046594,197.05138301911296,-10381.659391893487,0.0,-0.0020633655631958625,2025-06-25 06:00:00+00:00,2025-06-25 06:00:00+00:00,0 days 00:00:00,,197.292964390346,197.292964390346,197.70600084115995,197.70600084115995,196.87992793953202,196.87992793953202,0.2786038600226063,0.2786038600226063
25041,956,958,197.9329853671309,197.5256688003819,197.5256688003819,198.4621128234491,-10199.61414796143,0.0,-0.0020578508730795253,2025-06-30 03:00:00+00:00,2025-06-30 05:00:00+00:00,0 days 02:00:00,,198.35085569109236,198.27949850899833,198.87106955896584,198.9673706445325,197.83064182321888,197.59162637346415,0.2618731569389861,0.25105878456449887
24586,985,988,196.97194807490374,196.56138131254997,196.56138131254997,197.5054995585271,-10094.194419229716,0.0,-0.0020843920485450473,2025-07-01 08:00:00+00:00,2025-07-01 11:00:00+00:00,0 days 03:00:00,,197.55689348493303,197.46871512276786,198.12026074272367,198.3518028371668,196.99352622714238,196.58562740836894,0.2686230511688397,0.28954552730103306
22672,989,992,196.329923892097,196.90309618155518,195.88968683600157,196.90309618155518,12994.962146595648,0.0,0.0029194341753688846,2025-07-01 12:00:00+00:00,2025-07-01 15:00:00+00:00,0 days 03:00:00,,197.4389294215611,197.34585789271765,198.4114682738898,198.43761963055996,196.46639056923243,196.25409615487533,0.29593497554627174,0.30656053216455315
17477,1014,1032,195.78089052000536,196.25,195.1991434321885,196.53115205949086,8198.62638186637,0.0,0.002396094321303055,2025-07-02 13:00:00+00:00,2025-07-03 07:00:00+00:00,0 days 18:00:00,,197.02585765293665,196.32874897548132,198.18670371358095,197.87927725521422,195.86501159229235,194.77822069574842,0.3784613243213699,0.27714657006578514
